[2025-06-09 22:10:49,249] [INFO] Appended 104 name: Điện thoại OPPO A5 Pro 8GB/256GB, url: https://www.thegioididong.com/dtdd/oppo-a5-pro
[2025-06-09 22:10:49,279] [INFO] Appended 107 name: Điện thoại OPPO A3x 4GB/64GB, url: https://www.thegioididong.com/dtdd/oppo-a3x-4gb-64gb
[2025-06-09 22:10:49,314] [INFO] Appended 111 name: Điện thoại realme C75 8GB/128GB, url: https://www.thegioididong.com/dtdd/realme-c75-8gb-128gb?utm_flashsale=1
[2025-06-09 22:10:49,349] [INFO] Appended 115 name: Điện thoại vivo Y29 8GB/128GB, url: https://www.thegioididong.com/dtdd/vivo-y29-8gb-128gb
[2025-06-09 22:10:49,394] [INFO] Appended 118 name: Điện thoại HONOR X5b Plus 4GB/128GB, url: https://www.thegioididong.com/dtdd/honor-x5b-plus
[2025-06-09 22:10:49,425] [INFO] Appended 121 name: Điện thoại Samsung Galaxy A05s 6GB/128GB, url: https://www.thegioididong.com/dtdd/samsung-galaxy-a05s-6gb
[2025-06-09 22:10:49,441] [INFO] Appended 122 name: Điện thoại iPhone 15 Plus 128GB, url: https://www.thegioididong.com/dtdd/iphone-15-plus
[2025-06-09 22:10:49,479] [INFO] Appended 126 name: Điện thoại iPhone 13 128GB, url: https://www.thegioididong.com/dtdd/iphone-13
[2025-06-09 22:10:49,525] [INFO] Appended 130 name: Điện thoại Samsung Galaxy S24 FE 5G 8GB/256GB, url: https://www.thegioididong.com/dtdd/samsung-galaxy-s24-fe-8gb-256gb
[2025-06-09 22:10:49,553] [INFO] Appended 133 name: Điện thoại Samsung Galaxy S24 5G 8GB/256GB, url: https://www.thegioididong.com/dtdd/samsung-galaxy-s24-256gb-5g
[2025-06-09 22:10:49,571] [INFO] Appended 134 name: Điện thoại Xiaomi 14T 5G 12GB/256GB, url: https://www.thegioididong.com/dtdd/xiaomi-14t-5g
[2025-06-09 22:10:49,605] [INFO] Appended 138 name: Điện thoại Xiaomi 14T Pro 5G 12GB/256GB, url: https://www.thegioididong.com/dtdd/xiaomi-14t-pro-5g-12gb-256gb
[2025-06-09 22:10:49,635] [INFO] Appended 141 name: Điện thoại OPPO A3 8GB/128GB, url: https://www.thegioididong.com/dtdd/oppo-a3-8gb-128gb
[2025-06-09 22:10:49,671] [INFO] Appended 145 name: Điện thoại Tecno Spark GO 1 3GB/64GB, url: https://www.thegioididong.com/dtdd/tecno-spark-go-1
[2025-06-09 22:10:49,687] [INFO] Appended 146 name: Điện thoại OPPO Reno12 F 8GB/256GB, url: https://www.thegioididong.com/dtdd/oppo-reno12-f-4g-8gb-256gb
[2025-06-09 22:10:49,704] [INFO] Appended 147 name: Điện thoại realme Note 60 6GB/128GB, url: https://www.thegioididong.com/dtdd/realme-note-60
[2025-06-09 22:10:49,768] [INFO] Appended 151 name: Điện thoại vivo Y19s 6GB/128GB, url: https://www.thegioididong.com/dtdd/vivo-y19s-6gb-128gb
[2025-06-09 22:10:49,804] [INFO] Appended 154 name: Điện thoại HONOR X8b 8GB/512GB, url: https://www.thegioididong.com/dtdd/honor-x8b
[2025-06-09 22:10:49,821] [INFO] Appended 155 name: Điện thoại HONOR X6b 6GB/128GB Tím, url: https://www.thegioididong.com/dtdd/honor-x6b-6gb-128gb
[2025-06-09 22:10:49,858] [INFO] Appended 158 name: Điện thoại iPhone 14 128GB, url: https://www.thegioididong.com/dtdd/iphone-14
[2025-06-09 22:10:49,889] [INFO] Appended 161 name: Điện thoại iPhone 15 Pro Max 256GB, url: https://www.thegioididong.com/dtdd/iphone-15-pro-max
[2025-06-09 22:10:49,934] [INFO] Appended 165 name: Điện thoại iPhone 12 64GB, url: https://www.thegioididong.com/dtdd/iphone-12
[2025-06-09 22:10:49,966] [INFO] Appended 168 name: Điện thoại Xiaomi Redmi A3 3GB/64GB, url: https://www.thegioididong.com/dtdd/xiaomi-redmi-a3?utm_flashsale=1
[2025-06-09 22:10:50,007] [INFO] Appended 171 name: Điện thoại Samsung Galaxy S25 5G 12GB/256GB, url: https://www.thegioididong.com/dtdd/samsung-galaxy-s25
[2025-06-09 22:10:50,044] [INFO] Appended 174 name: Điện thoại Xiaomi Redmi 13 6GB/128GB, url: https://www.thegioididong.com/dtdd/xiaomi-redmi-13-6gb-128gb
[2025-06-09 22:10:50,077] [INFO] Appended 177 name: Điện thoại HONOR X5 Plus 4GB/64GB, url: https://www.thegioididong.com/dtdd/honor-x5-plus
[2025-06-09 22:10:50,092] [INFO] Appended 178 name: Điện thoại Xiaomi Redmi 14C 6GB/128GB, url: https://www.thegioididong.com/dtdd/xiaomi-redmi-14c-6gb-128gb?utm_flashsale=1
[2025-06-09 22:10:50,121] [INFO] Appended 181 name: Điện thoại OPPO Find X8 5G 16GB/512GB Hồng, url: https://www.thegioididong.com/dtdd/oppo-find-x8-hong
[2025-06-09 22:10:50,148] [INFO] Appended 184 name: Điện thoại OPPO Find X8 Pro 5G 16GB/512GB, url: https://www.thegioididong.com/dtdd/oppo-find-x8-pro
[2025-06-09 22:10:50,165] [INFO] Appended 185 name: Điện thoại realme 13+ 5G 12GB/256GB, url: https://www.thegioididong.com/dtdd/realme-13-plus-5g?utm_flashsale=1
[2025-06-09 22:10:50,182] [INFO] Appended 186 name: Điện thoại vivo Y04 4GB/128GB, url: https://www.thegioididong.com/dtdd/vivo-y04
[2025-06-09 22:10:50,218] [INFO] Appended 190 name: Điện thoại Samsung Galaxy A35 5G 8GB/256GB, url: https://www.thegioididong.com/dtdd/samsung-galaxy-a35-5g
[2025-06-09 22:10:50,236] [INFO] Appended 191 name: Điện thoại realme Note 60x 4GB/64GB, url: https://www.thegioididong.com/dtdd/realme-note-60x-4gb
[2025-06-09 22:10:50,278] [INFO] Appended 194 name: Điện thoại vivo V40 Lite 8GB/256GB, url: https://www.thegioididong.com/dtdd/vivo-v40-lite-8gb-256gb
[2025-06-09 22:10:50,294] [INFO] Appended 195 name: Điện thoại realme Note 50 3GB/64GB, url: https://www.thegioididong.com/dtdd/realme-note-50-64gb
[2025-06-09 22:10:50,312] [INFO] Appended 196 name: Điện thoại vivo V30 5G 12GB/512GB, url: https://www.thegioididong.com/dtdd/vivo-v30
[2025-06-09 22:10:50,331] [INFO] Appended 197 name: Điện thoại vivo V30e 5G 12GB/256GB, url: https://www.thegioididong.com/dtdd/vivo-v30e-12gb
[2025-06-09 22:10:50,361] [INFO] Appended 200 name: Điện thoại OPPO Reno13 F 5G 8GB/256GB, url: https://www.thegioididong.com/dtdd/oppo-reno13-f-5g
[2025-06-09 22:10:50,389] [INFO] Appended 203 name: Điện thoại Xiaomi Redmi Note 14 8GB/128GB, url: https://www.thegioididong.com/dtdd/xiaomi-redmi-note-14-8gb-128gb
[2025-06-09 22:10:50,426] [INFO] Appended 207 name: Điện thoại Samsung Galaxy A16 5G 8GB/256GB, url: https://www.thegioididong.com/dtdd/samsung-galaxy-a16-5g
[2025-06-09 22:10:50,457] [INFO] Appended 210 name: Điện thoại Samsung Galaxy A06 4GB/64GB, url: https://www.thegioididong.com/dtdd/samsung-galaxy-a06-4gb-64gb
[2025-06-09 22:10:50,502] [INFO] Appended 214 name: Điện thoại Xiaomi Redmi A5 3GB/64GB, url: https://www.thegioididong.com/dtdd/xiaomi-redmi-a5-3gb-64gb
[2025-06-09 22:10:50,532] [INFO] Appended 217 name: Điện thoại Nokia HMD 105 4G, url: https://www.thegioididong.com/dtdd/nokia-hmd-105-4g
[2025-06-09 22:10:50,549] [INFO] Appended 218 name: Điện thoại Masstel IZI 10, url: https://www.thegioididong.com/dtdd/masstel-izi-10
[2025-06-09 22:10:50,566] [INFO] Appended 219 name: Điện thoại Mobell M331 4G, url: https://www.thegioididong.com/dtdd/mobell-m331
[2025-06-09 22:10:50,583] [INFO] Appended 220 name: Điện thoại Viettel Sumo 4G T2, url: https://www.thegioididong.com/dtdd/viettel-sumo-4g-t2
[2025-06-09 22:10:50,599] [INFO] Appended 221 name: Điện thoại Nokia 220 4G, url: https://www.thegioididong.com/dtdd/nokia-220-4g
[2025-06-09 22:10:50,616] [INFO] Appended 222 name: Điện thoại Mobell M539, url: https://www.thegioididong.com/dtdd/mobell-m539
[2025-06-09 22:10:50,632] [INFO] Appended 223 name: Điện thoại Mobell M239 4G, url: https://www.thegioididong.com/dtdd/mobell-m239
[2025-06-09 22:10:50,651] [INFO] Appended 224 name: Điện thoại Masstel Fami 50 4G, url: https://www.thegioididong.com/dtdd/masstel-fami-50
[2025-06-09 22:10:50,667] [INFO] Appended 225 name: Điện thoại Masstel IZI T6 4G, url: https://www.thegioididong.com/dtdd/masstel-izi-t6
[2025-06-09 22:10:50,685] [INFO] Appended 226 name: Điện thoại Mobell F309 4G, url: https://www.thegioididong.com/dtdd/mobell-f309
